,estabelecimento,frequencia
0,Universidade de Lisboa,9167
1,Universidade do Porto,8069
2,Universidade Nova de Lisboa,4104
3,Instituto Politécnico do Porto,3910
4,Universidade de Coimbra,3884
5,Universidade do Minho,3836
6,Instituto Politécnico de Lisboa,2734
7,Universidade de Aveiro,2730
8,ISCTE,2308
9,Instituto Politécnico de Coimbra,1996
10,Instituto Politécnico de Leiria,1745
11,Universidade do Algarve,1582
12,Universidade de Trás-os-Montes e Alto Douro,1390
13,Universidade da Beira Interior,1143
14,Instituto Politécnico de Setúbal,1140
15,Universidade de Évora,1087
16,Instituto Politécnico do Cávado e do Ave,919
17,Universidade da Madeira,897
18,Instituto Politécnico de Viseu,701
19,Instituto Politécnico de Viana do Castelo,630
20,Universidade dos Açores,550
21,Instituto Politécnico de Santarém,529
22,Instituto Politécnico de Castelo Branco,513
23,Instituto Politécnico de Bragança,459
24,Escola Superior de Hotelaria e Turismo do Estoril,365
25,Escola Superior de Enfermagem do Porto,336
26,Escola Superior de Enfermagem de Lisboa,333
27,Instituto Politécnico de Portalegre,235
28,Instituto Politécnico de Beja,229
29,Escola Superior de Enfermagem de Coimbra,227
30,Instituto Politécnico da Guarda,206
31,Escola Superior Náutica Infante D. Henrique,185
32,Instituto Politécnico de Tomar,156
33,Universidade de Coimbra (Campus Figueira da Foz),6
