estabelecimento,total_candidatos,total_colocados,latitude,longitude
Escola Superior Náutica Infante D. Henrique,725,157,39.6945,-8.13057
Escola Superior de Enfermagem de Coimbra,1092,311,40.2185907,-8.4092581
Escola Superior de Enfermagem de Lisboa,1089,279,38.7493595,-9.1624834
Escola Superior de Enfermagem do Porto,1013,258,41.1821164,-8.6033196
Escola Superior de Hotelaria e Turismo do Estoril,1506,393,38.7171721,-9.3921044
ISCTE,12688,1524,38.7486143,-9.1540202
Instituto Politécnico da Guarda,2599,522,40.5411258,-7.2835561
Instituto Politécnico de Beja,1378,337,38.0128559,-7.8729938
Instituto Politécnico de Bragança,3955,999,41.796835,-6.761965
Instituto Politécnico de Castelo Branco,3248,678,39.8218772,-7.4983458
Instituto Politécnico de Coimbra,11661,1967,40.1919686,-8.4118612
Instituto Politécnico de Leiria,8581,1830,39.74362,-8.80705
Instituto Politécnico de Lisboa,14354,2254,38.7493226,-9.1935754
Instituto Politécnico de Portalegre,1554,408,39.2914746,-7.4331014
Instituto Politécnico de Santarém,3066,792,39.2217088,-8.6876128
Instituto Politécnico de Setúbal,5293,995,38.5208724,-8.8389454
Instituto Politécnico de Tomar,995,290,39.5994484,-8.3897311
Instituto Politécnico de Viana do Castelo,3364,820,41.6921485,-8.8345475
Instituto Politécnico de Viseu,3928,970,40.646512,-7.9196474
Instituto Politécnico do Cávado e do Ave,4810,769,41.536614,-8.6270579
Instituto Politécnico do Porto,17819,3024,41.1804181,-8.5969974
Universidade Nova de Lisboa,17354,2796,38.7328407,-9.1602002
Universidade da Beira Interior,8045,1422,40.2781315,-7.5094759
Universidade da Madeira,2236,626,32.6591532,-16.9250258
Universidade de Aveiro,16144,2305,40.6320293,-8.6597957
Universidade de Coimbra,19242,3340,40.207422,-8.4260033
Universidade de Coimbra (Campus Figueira da Foz),92,12,40.20564,-8.41955
Universidade de Lisboa,40491,7369,38.7525379,-9.1568456
Universidade de Trás-os-Montes e Alto Douro,7829,1561,41.2865436,-7.7397751
Universidade de Évora,6655,1224,38.5737223,-7.9045657
Universidade do Algarve,7917,1530,37.0275406,-7.9223535
Universidade do Minho,19582,2949,41.5573185,-8.3978382
Universidade do Porto,28422,4718,41.1785426,-8.6022237
Universidade dos Açores,2238,534,37.7465146,-25.6629537
