,codigo_estabelecimento,codigo_curso,estabelecimento,escola,curso,regime_pos_laboral,regime_noturno,media_Nota,media_PI,media_12º,media_10º/11º
0,3163,9147,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,Gestão,0,0,158.85,151.556,162.741,162.741
1,150,L041,Universidade dos Açores,Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,0,0,152.992,157.083,150.75,150.75
2,3011,9888,Universidade de Aveiro,Instituto Superior de Contabilidade e Administração de Aveiro,Finanças,1,0,144.94,139.0,148.1,148.1
3,1104,9081,Universidade do Porto,Faculdade de Economia,Economia,0,0,184.754,185.363,184.13,184.13
4,1501,9069,Universidade de Lisboa,Faculdade de Arquitetura,Design,0,0,176.09,179.78,172.4,172.4
5,602,9847,Universidade de Évora,Escola de Ciências e Tecnologia,Medicina Veterinária,0,0,167.189,148.623,177.158,177.158
6,3163,9087,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,Engenharia Alimentar,0,0,147.0,121.0,161.0,161.0
7,1518,9455,Universidade de Lisboa,Instituto Superior Técnico,Engenharia Biomédica,0,0,181.836,178.25,185.373,185.373
8,7005,8138,Instituto Politécnico de Beja,Escola Superior de Saúde,Terapia Ocupacional,0,0,132.514,112.286,143.381,143.381
9,7210,9549,Instituto Politécnico de Coimbra,Escola Superior de Tecnologia da Saúde de Coimbra,Farmácia,0,0,143.707,120.512,156.171,156.171
10,505,9779,Universidade de Coimbra,Faculdade de Letras,Línguas Modernas,0,0,167.72,173.214,162.226,162.226
11,3052,9485,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,Secretariado,0,0,128.48,120.0,133.0,133.0
12,1306,9069,Universidade da Madeira,Faculdade de Artes e Humanidades,Design,0,0,152.5,149.0,155.333,155.333
13,3011,8005,Universidade de Aveiro,Instituto Superior de Contabilidade e Administração de Aveiro,Marketing,1,0,145.99,135.7,151.5,151.5
14,3182,9709,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,Ciências e Tecnologia do Ambiente,0,0,97.0,97.0,97.0,97.0
15,1203,9089,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,Engenharia Civil,0,0,131.213,108.813,143.25,143.25
16,3117,9889,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,Finanças Empresariais,1,0,151.039,149.913,151.609,151.609
17,3031,8015,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,Solicitadoria,1,0,149.126,136.6,155.829,155.829
18,1202,9204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",0,0,153.692,151.436,154.872,154.872
19,300,9119,Universidade de Aveiro,D,Engenharia Informática,0,0,182.021,185.769,178.269,178.269
20,3138,8288,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,Sistemas de Informação para Gestão,0,0,135.105,112.0,147.5,147.5
21,3164,9498,Instituto Politécnico de Viana do Castelo,Escola Superior de Ciências Empresariais,Contabilidade e Fiscalidade,0,0,138.25,119.25,148.429,148.429
22,3031,9994,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,Gestão de Empresas,1,0,159.638,153.793,162.759,162.759
23,1108,L307,Universidade do Porto,Faculdade de Medicina,Saúde Digital e Inovação Biomédica,0,0,182.323,175.671,188.943,188.943
24,3013,9504,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,Fisioterapia,0,0,163.97,153.2,171.15,171.15
25,201,9817,Universidade do Algarve,Faculdade de Ciências Humanas e Sociais,Artes Visuais,0,0,145.752,152.667,142.0,142.0
26,7230,8138,Instituto Politécnico do Porto,Escola Superior de Saúde,Terapia Ocupacional,0,0,149.478,132.522,166.435,166.435
27,400,L295,Universidade da Beira Interior,D,Engenharia Mecânica Computacional,0,0,165.8,158.0,170.0,170.0
28,3031,9152,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,Gestão de Empresas,0,0,169.25,162.625,172.775,172.775
29,300,9104,Universidade de Aveiro,D,Engenharia e Gestão Industrial,0,0,176.384,168.101,181.905,181.905
30,505,9181,Universidade de Coimbra,Faculdade de Letras,História,0,0,167.627,168.302,166.952,166.952
