,curso,regime,Media_Nota
0,Finanças,Pós-Laboral,144.94
1,Engenharia Civil,Diurno,151.46
2,Engenharia Física Aplicada,Diurno,131.01
3,Biotecnologia,Diurno,144.59
4,Engenharia de Redes e Sistemas de Computadores,Diurno,132.42
5,Engenharia Eletrónica e Telecomunicações,Diurno,149.0
6,Engenharia Informática Aplicada,Diurno,150.87
7,Engenharia Eletrónica e Telecomunicações e de Computadores,Diurno,128.73
8,Engenharia Alimentar,Diurno,131.73
9,Gestão Turística,Diurno,147.93
10,"Gestão Turística, Cultural e Patrimonial",Diurno,133.51
11,Turismo e Gestão do Património Cultural,Diurno,126.87
12,Tecnologia e Design de Mobiliário,Diurno,131.05
13,"Tecnologias Digitais, Edifícios e Construção Sustentável",Diurno,140.17
14,Jornalismo e Comunicação,Diurno,154.8
15,Línguas e Literaturas,Diurno,153.22
16,Sociologia,Pós-Laboral,137.6
17,Segurança do Trabalho e Ambiente,Diurno,136.48
18,Tecnologias Digitais e Gestão,Diurno,157.91
19,Design Sustentável,Diurno,142.87
20,Gestão,Pós-Laboral,152.2
21,Engenharia do Ambiente,Diurno,147.02
22,Engenharia Física Tecnológica,Diurno,188.14
23,Bioquímica,Diurno,159.43
24,Engenharia Mecatrónica,Diurno,145.33
25,Tecnologias e Design de Multimédia,Diurno,137.27
26,Comunicação e Media,Diurno,151.93
27,Engenharia Zootécnica,Diurno,142.66
28,Filosofia,Diurno,161.1
29,Tecnologias e Gestão Municipal,Diurno,134.44
30,Planeamento e Gestão do Território,Diurno,144.14
31,Turismo,Diurno,134.35
32,Organização e Gestão Empresariais,Diurno,146.66
33,Gestão de Recursos Humanos e Comportamento Organizacional,Diurno,133.05
34,Direção e Gestão Hoteleira,Diurno,151.48
35,Design do Produto,Diurno,154.01
36,Matemática Aplicada à Economia e à Gestão,Diurno,173.48
37,Teatro e Artes Performativas,Diurno,133.93
38,Gestão Comercial,Diurno,139.61
39,Finanças Empresariais,Pós-Laboral,151.04
40,Ciências Farmacêuticas,Diurno,160.91
41,Solicitadoria,Diurno,151.8
42,Jogos Digitais e Multimédia (ensino em inglês),Diurno,152.23
43,Agronomia,Diurno,135.53
44,Engenharia de Minas e Recursos Energéticos,Diurno,145.46
45,Engenharia Informática,Pós-Laboral,143.35
46,Estudos Clássicos,Diurno,139.24
47,Biologia Marinha,Diurno,145.17
48,Engenharia Informática e Telecomunicações,Diurno,133.06
