,curso,regime,estabelecimento,Nota_minima
0,Administração Pública,Diurno,Instituto Politécnico de Castelo Branco,109.0
1,Administração Pública,Diurno,Instituto Politécnico de Leiria,127.9
2,Administração Pública,Diurno,Universidade de Aveiro,120.2
3,Administração Pública,Diurno,Universidade de Lisboa,140.0
4,Administração Pública,Diurno,Universidade do Minho,160.2
5,Administração Pública,Pós-Laboral,Universidade de Lisboa,135.5
6,Administração Pública e Políticas do Território,Pós-Laboral,Universidade de Lisboa,128.5
7,Administração Público-Privada,Diurno,Universidade de Coimbra,143.0
8,Administração de Publicidade e Marketing,Diurno,Instituto Politécnico de Portalegre,115.4
9,Agronomia,Diurno,Instituto Politécnico de Beja,124.4
10,Agronomia,Diurno,Instituto Politécnico de Castelo Branco,122.4
11,Agronomia,Diurno,Instituto Politécnico de Coimbra,118.2
12,Agronomia,Diurno,Instituto Politécnico de Portalegre,114.9
13,Agronomia,Diurno,Instituto Politécnico de Santarém,110.0
14,Agronomia,Diurno,Instituto Politécnico de Viana do Castelo,125.0
15,Agronomia,Diurno,Universidade de Évora,101.0
16,Agronomia,Diurno,Universidade do Algarve,122.3
17,Agronomia,Pós-Laboral,Instituto Politécnico de Santarém,142.5
18,Animação Sociocultural,Diurno,Instituto Politécnico da Guarda,111.0
19,Animação Sociocultural,Diurno,Instituto Politécnico de Lisboa,116.0
20,Animação Sociocultural,Diurno,Instituto Politécnico de Setúbal,131.4
21,Animação Sociocultural,Diurno,Universidade de Trás-os-Montes e Alto Douro,107.6
22,Animação Socioeducativa,Diurno,Instituto Politécnico de Coimbra,119.7
23,Animação Socioeducativa,Pós-Laboral,Instituto Politécnico de Coimbra,109.6
24,Animação Turística,Diurno,Instituto Politécnico de Leiria,115.4
25,Animação e Produção Artística,Diurno,Instituto Politécnico de Bragança,120.4
26,Antropologia,Diurno,ISCTE,121.0
27,Antropologia,Diurno,Universidade Nova de Lisboa,133.5
28,Antropologia,Diurno,Universidade de Coimbra,120.0
29,Antropologia,Diurno,Universidade de Lisboa,131.0
30,Arqueologia,Diurno,Universidade Nova de Lisboa,137.5
31,Arqueologia,Diurno,Universidade de Coimbra,136.5
32,Arqueologia,Diurno,Universidade de Lisboa,121.5
33,Arqueologia,Diurno,Universidade do Minho,145.0
34,Arqueologia,Diurno,Universidade do Porto,132.6
35,Arquitetura,Diurno,ISCTE,126.0
36,Arquitetura,Diurno,Universidade da Beira Interior,155.4
37,Arquitetura,Diurno,Universidade de Coimbra,149.8
38,Arquitetura,Diurno,Universidade de Lisboa,128.5
39,Arquitetura,Diurno,Universidade de Évora,142.4
40,Arquitetura,Diurno,Universidade do Minho,151.5
41,Arquitetura,Diurno,Universidade do Porto,118.0
42,Arquitetura Paisagista,Diurno,Universidade de Lisboa,112.5
43,Arquitetura Paisagista,Diurno,Universidade do Algarve,145.5
44,Arquitetura Paisagista,Diurno,Universidade do Porto,102.5
45,Arte Multimédia,Diurno,Universidade de Lisboa,121.3
46,Arte e Design,Diurno,Instituto Politécnico de Bragança,114.2
