,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos_1op,total_colocados_1op,proporcao_colocados
0,9181,História,505,Universidade de Coimbra,Faculdade de Letras,0,0,95,44,46.3
1,9164,Gestão e Administração Hoteleira,3139,Instituto Politécnico do Porto,Escola Superior de Hotelaria e Turismo,0,0,71,29,40.8
2,9147,Gestão,300,Universidade de Aveiro,D,0,0,76,28,36.8
3,9741,Engenharia Automóvel,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,26,26,100.0
4,8296,Gestão Industrial,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,2,2,100.0
5,9556,Higiene Oral,1508,Universidade de Lisboa,Faculdade de Medicina Dentária,0,0,41,20,48.8
6,9173,Gestão Hoteleira,3082,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo",0,0,37,25,67.6
7,8509,Património Cultural e Arqueologia,201,Universidade do Algarve,Faculdade de Ciências Humanas e Sociais,0,0,19,12,63.2
8,9723,Design de Ambientes,3163,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão,0,0,43,15,34.9
9,9119,Engenharia Informática,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,92,56,60.9
10,9119,Engenharia Informática,1203,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,0,0,80,70,87.5
11,9885,Engenharia Informática,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,1,0,7,7,100.0
12,L066,Imagem Médica e Radioterapia,7035,Universidade do Algarve,Escola Superior de Saúde,0,0,23,14,60.9
13,L179,Produção Multimédia em Educação,3142,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,0,0,21,18,85.7
14,9139,Filosofia,505,Universidade de Coimbra,Faculdade de Letras,0,0,15,13,86.7
15,L068,Ciências Biomédicas Laboratoriais,7035,Universidade do Algarve,Escola Superior de Saúde,0,0,23,20,87.0
16,9140,Finanças,3011,Universidade de Aveiro,Instituto Superior de Contabilidade e Administração de Aveiro,0,0,48,14,29.2
17,9156,Gestão de Marketing,3143,Instituto Politécnico de Santarém,Escola Superior de Gestão e Tecnologia de Santarém,0,0,36,21,58.3
18,9861,Saúde Ambiental,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,13,8,61.5
19,9119,Engenharia Informática,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,62,47,75.8
20,L239,Engenharia de Minas e Recursos Energéticos,1518,Universidade de Lisboa,Instituto Superior Técnico,0,0,6,6,100.0
21,9491,Tecnologias e Design de Multimédia,3182,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Viseu,0,0,20,19,95.0
22,L193,Matemática Aplicada e Ciência de Dados,1203,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências e Tecnologia,0,0,4,4,100.0
23,L150,Estudos de Cultura,1306,Universidade da Madeira,Faculdade de Artes e Humanidades,0,0,5,5,100.0
24,9002,Administração Pública,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,24,12,50.0
25,9740,Engenharia Aeronáutica,400,Universidade da Beira Interior,D,0,0,45,40,88.9
26,L207,Turismo e Gestão do Património Cultural,3241,Instituto Politécnico de Tomar,Escola Superior de Gestão de Tomar,0,0,9,9,100.0
27,9015,Bioquímica,400,Universidade da Beira Interior,D,0,0,27,17,63.0
28,8141,Audiologia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,5,1,20.0
29,L273,Tecnologias Digitais e Automação,6810,ISCTE,Instituto Universitário de Lisboa (Sintra),0,0,13,10,76.9
30,9081,Economia,1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,19,14,73.7
31,9204,"Línguas, Literaturas e Culturas",1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,22,17,77.3
32,9141,Física,300,Universidade de Aveiro,D,0,0,9,9,100.0
33,9015,Bioquímica,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,14,14,100.0
34,9107,Engenharia Eletrónica e Telecomunicações,1307,Universidade da Madeira,Faculdade de Ciências Exatas e da Engenharia,0,0,3,3,100.0
35,8251,História e Arqueologia,604,Universidade de Évora,Escola de Ciências Sociais,0,0,31,19,61.3
36,8143,Ortóptica,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,17,5,29.4
37,8031,Ciências Farmacêuticas (Preparatórios),140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,1,1,100.0
38,9235,Secretariado e Comunicação Empresarial,3012,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,0,0,12,9,75.0
39,9853,Educação Básica,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,190,64,33.7
