,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
0,9841,Reabilitação Psicomotora,1510,Universidade de Lisboa,Faculdade de Motricidade Humana,0,0,326,49
1,9813,Medicina,901,Universidade Nova de Lisboa,Faculdade de Ciências Médicas,0,0,1055,232
2,9204,"Línguas, Literaturas e Culturas",902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,417,75
3,9554,Ciências da Nutrição,901,Universidade Nova de Lisboa,Faculdade de Ciências Médicas,0,0,124,20
4,9991,Gestão,3117,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,1,0,445,88
5,9123,Engenharia Mecânica,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,357,104
6,L213,Engenharia Física Aplicada,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,47,9
7,9853,Educação Básica,3052,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,0,0,182,35
8,L085,Tecnologias e Gestão Municipal,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,89,23
9,9485,Secretariado,3052,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,0,0,71,10
10,9707,Ciências do Desporto,1510,Universidade de Lisboa,Faculdade de Motricidade Humana,0,0,388,171
11,9751,Engenharia Mecatrónica,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,37,12
12,L066,Imagem Médica e Radioterapia,3013,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,0,0,227,25
13,9563,Desporto,3081,Universidade do Algarve,Escola Superior de Educação e Comunicação,0,0,249,41
14,L091,Segurança do Trabalho e Ambiente,3138,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão,0,0,66,20
15,9504,Fisioterapia,3013,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,0,0,444,40
16,L138,Design de Produto e Tecnologia,3014,Universidade de Aveiro,"Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte",0,0,222,38
17,9089,Engenharia Civil,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,179,41
18,9109,Engenharia Eletrotécnica,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,189,36
19,8002,Línguas e Culturas Estrangeiras,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,294,57
20,9752,Enologia,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,55,7
21,9707,Ciências do Desporto,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,532,126
22,8264,Artes Visuais e Tecnologias Artísticas,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,176,28
23,9853,Educação Básica,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,513,79
24,9476,Finanças Empresariais,3117,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,0,0,457,55
25,8156,Gestão de Atividades Turísticas,3034,Instituto Politécnico do Cávado e do Ave,Escola Superior de Hotelaria e Turismo,0,0,185,44
26,9540,Bioengenharia,1204,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências da Vida e do Ambiente,0,0,80,19
27,9242,Solicitadoria,3117,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,0,0,454,55
28,9240,Sociologia,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,502,58
29,9760,Física e Química,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,9,0
30,9847,Medicina Veterinária,602,Universidade de Évora,Escola de Ciências e Tecnologia,0,0,450,57
31,9455,Engenharia Biomédica,3118,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,0,0,127,26
32,9084,Educação Social,3131,Instituto Politécnico do Porto,Escola Superior de Educação,0,0,423,54
