estabelecimento,latitude,longitude
Universidade de Évora,38.5737223,-7.9045657
Universidade Nova de Lisboa,38.7328407,-9.1602002
Universidade do Porto,41.1785426,-8.6022237
Universidade de Trás-os-Montes e Alto Douro,41.2865436,-7.7397751
Universidade da Madeira,32.6591532,-16.9250258
Universidade de Lisboa,38.7525379,-9.1568456
Universidade de Aveiro,40.6320293,-8.6597957
Instituto Politécnico do Cávado e do Ave,41.536614,-8.6270579
Instituto Politécnico de Castelo Branco,39.8218772,-7.4983458
Universidade do Algarve,37.0275406,-7.9223535
Instituto Politécnico de Lisboa,38.7493226,-9.1935754
Instituto Politécnico do Porto,41.1804181,-8.5969974
Instituto Politécnico de Santarém,39.2217088,-8.6876128
Instituto Politécnico de Viana do Castelo,41.6921485,-8.8345475
Instituto Politécnico de Setúbal,38.5208724,-8.8389454
Instituto Politécnico de Tomar,39.5994484,-8.3897311
Escola Superior de Hotelaria e Turismo do Estoril,38.7171721,-9.3921044
Instituto Politécnico de Viseu,40.646512,-7.9196474
Universidade dos Açores,37.7465146,-25.6629537
Escola Superior de Enfermagem de Coimbra,40.2185907,-8.4092581
Universidade de Coimbra,40.207422,-8.4260033
Instituto Politécnico de Bragança,41.796835,-6.761965
Instituto Politécnico de Leiria,39.74362,-8.80705
ISCTE,38.7486143,-9.1540202
Instituto Politécnico de Coimbra,40.1919686,-8.4118612
Escola Superior de Enfermagem do Porto,41.1821164,-8.6033196
Universidade da Beira Interior,40.2781315,-7.5094759
Instituto Politécnico de Beja,38.0128559,-7.8729938
Universidade de Coimbra (Campus Figueira da Foz),40.20564,-8.41955
Universidade do Minho,41.5573185,-8.3978382
Instituto Politécnico da Guarda,40.5411258,-7.2835561
Instituto Politécnico de Portalegre,39.2914746,-7.4331014
Escola Superior Náutica Infante D. Henrique,39.6945,-8.13057
Escola Superior de Enfermagem de Lisboa,38.7493595,-9.1624834
